wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025
A2PRG0,CYBU,49876435.0,iShares China CNY Bond UCITS ETF USD Hedged (Dist),2019-11-04,1999.0,5.476712328767123,Long-only,Ireland,USD,True,False,Distributing,0.4,Full replication,848.0,False,104.0,-5.48,-1.15,-2.05,-7.11,1.04,-0.34,20.08,13.82,13.12,2.02,14.85,3.7,2.21,2.18,7.63,9.48,9.02,-0.04,0.66,0.29,-19.52,-8.69,-15.43,-16.74,APACandEMEA,China,Emerging_APACandEMEA,
A14T8G,CNYB,29336346.0,iShares China CNY Bond UCITS ETF USD (Dist),2019-07-24,2102.0,5.758904109589041,Long-only,Ireland,USD,False,False,Distributing,0.35,Full replication,621.0,False,104.0,-5.46,-0.5,-2.21,-7.44,-1.87,-2.35,-0.37,8.69,6.35,-3.14,5.99,9.71,2.35,2.25,8.04,8.73,8.36,-0.29,-0.01,0.2,-16.03,-8.99,-16.03,-16.03,APACandEMEA,China,Emerging_APACandEMEA,
A2PRG1,83J0,49876441.0,iShares China CNY Bond UCITS ETF EUR Hedged (Acc),2021-02-24,1521.0,4.167123287671233,Long-only,Ireland,EUR,True,False,Accumulating,0.4,Full replication,213.0,False,104.0,4.06,0.2,3.85,1.79,6.21,5.77,20.42,,4.45,3.28,6.03,,,,6.81,8.55,,0.85,0.75,,-6.61,-3.93,-6.61,,APACandEMEA,China,Emerging_APACandEMEA,
A2P3WK,CYEA,54540945.0,iShares China CNY Bond UCITS ETF USD (Acc),2020-05-14,1807.0,4.950684931506849,Long-only,Ireland,USD,False,False,Accumulating,0.35,Full replication,208.0,False,104.0,-6.38,-1.12,-3.08,-8.14,-2.87,-3.93,-1.35,,6.58,-3.5,6.28,9.41,,,7.83,8.43,,-0.5,-0.05,,-15.93,-9.09,-15.93,,APACandEMEA,China,Emerging_APACandEMEA,
A2QDP0,CYGB,57310969.0,iShares China CNY Bond UCITS ETF GBP Hedged (Dist),2021-02-24,1521.0,4.167123287671233,Long-only,Ireland,GBP,True,False,Distributing,0.4,Full replication,91.0,False,104.0,0.88,0.0,1.59,-0.17,4.32,8.22,23.15,,10.95,7.55,1.5,,2.11,2.24,5.67,7.93,,1.45,0.91,,-4.0,-1.9,-4.0,,APACandEMEA,China,Emerging_APACandEMEA,
A2PPCG,CBGB,49876432.0,Goldman Sachs Access China Government Bond UCITS ETF USD (Dist),2019-10-22,2012.0,5.512328767123288,Long-only,Ireland,USD,False,False,Distributing,0.24,Sampling,63.0,False,22.0,-6.6,-0.55,-2.13,-8.35,-3.21,-4.6,-4.44,2.96,3.52,-3.29,5.92,9.01,0.0,0.0,8.18,8.49,8.17,-0.56,-0.18,0.07,-15.9,-9.99,-15.9,-15.9,APACandEMEA,China,Emerging_APACandEMEA,
A2PYAK,JC11,52004261.0,UBS ETF (LU) J.P. Morgan CNY China Government 1-10 Year Bond UCITS ETF (USD) A-acc,2020-03-31,1851.0,5.071232876712329,Long-only,Luxembourg,USD,False,False,Accumulating,0.33,Full replication,58.0,False,144.0,-5.77,-0.53,-2.57,-7.34,-2.77,-3.47,-3.76,3.72,4.47,-4.18,5.57,8.44,,,7.53,8.45,10.74,-0.46,-0.15,0.07,-16.39,-9.0,-16.39,-16.39,APACandEMEA,China,Emerging_APACandEMEA,
A2QFVU,DRGG,58799648.0,L&G China CNY Bond UCITS ETF USD Dist,2020-12-03,1604.0,4.394520547945206,Long-only,Ireland,USD,False,False,Distributing,0.3,Full replication,45.0,False,163.0,-5.67,-0.41,-2.55,-7.28,-2.66,-3.35,-3.6,,4.54,-3.97,5.39,8.62,2.34,2.21,7.66,8.87,,-0.44,-0.14,,-16.4,-9.14,-16.4,,APACandEMEA,China,Emerging_APACandEMEA,
A2PVU9,CBNX,111487504.0,Goldman Sachs Access China Government Bond UCITS ETF USD (Acc),2021-05-19,1437.0,3.936986301369863,Long-only,Ireland,USD,False,False,Accumulating,0.24,Sampling,39.0,False,22.0,-5.61,-0.18,-2.32,-7.48,-2.22,-2.82,-1.12,,6.07,-3.4,5.9,,,,7.6,8.26,,-0.55,-0.07,,-16.03,-8.94,-16.03,,APACandEMEA,China,Emerging_APACandEMEA,
A3DCK4,JCHE,115960827.0,JPMorgan BetaBuilders China Aggregate Bond UCITS ETF EUR Hedged (acc),2022-05-05,1086.0,2.9753424657534246,Long-only,Ireland,EUR,True,False,Accumulating,0.28,Full replication,36.0,False,68.0,2.95,-0.47,3.54,0.95,5.75,4.91,,,3.71,3.02,,,,,7.48,,,0.66,,,-7.16,-4.3,,,APACandEMEA,China,Emerging_APACandEMEA,
