wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A0RPWL,SJPA,10608419.0,iShares Core MSCI Japan IMI UCITS ETF,2009-09-25,5691,15.591780821917808,Long-only,Ireland,USD,False,True,Accumulating,0.12,Optimized sampling,4827.0,False,1017.0,-2.12,2.14,-3.09,-2.87,3.65,-0.49,25.42,40.52,9.08,12.41,-6.02,2.15,,,25.97,20.36,19.19,-0.02,0.38,0.37,-22.48,-16.66,-16.66,-20.0,APAC,Japan,Developed_APAC
LYX0YC,LCJP,40916345.0,Amundi MSCI Japan UCITS ETF Acc,2018-02-28,2613,7.158904109589041,Long-only,Luxembourg,JPY,False,True,Accumulating,0.12,Full replication,4037.0,False,191.0,-1.57,2.68,-4.1,-3.22,2.91,-1.57,25.09,42.22,8.68,13.25,-7.01,2.85,,,25.51,19.54,18.23,-0.06,0.4,0.4,-21.77,-16.7,-16.86,-19.45,APAC,Japan,Developed_APAC
A1W3BE,JPNA,21967323.0,UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,2017-07-14,2842,7.786301369863014,Long-only,Luxembourg,JPY,False,True,Accumulating,0.12,Full replication,2540.0,False,192.0,-2.78,3.83,-5.9,-4.72,2.71,-0.6,24.44,40.71,9.42,13.18,-6.5,2.15,,,24.72,19.17,17.81,-0.12,0.36,0.39,-21.69,-16.6,-16.81,-19.29,APAC,Japan,Developed_APAC
DBX1MJ,XMJP,2825426.0,Xtrackers MSCI Japan UCITS ETF 1C,2007-01-09,6681,18.304109589041097,Long-only,Luxembourg,USD,False,True,Accumulating,0.12,Full replication,2068.0,False,191.0,-2.92,2.36,-3.52,-3.75,2.85,-1.55,25.24,41.8,9.82,13.67,-6.97,3.09,,,27.42,21.29,19.67,-0.06,0.37,0.37,-37.3,-17.62,-17.62,-20.19,APAC,Japan,Developed_APAC
A2JHSE,XESJ,41414829.0,Xtrackers MSCI Japan ESG UCITS ETF 1C,2018-04-24,2558,7.008219178082192,Long-only,Ireland,USD,False,False,Accumulating,0.2,Full replication,1905.0,True,105.0,-3.96,1.9,-2.91,-5.09,0.8,2.79,21.32,31.89,12.17,11.84,-10.92,0.24,,,27.21,21.12,19.7,0.1,0.31,0.29,-22.46,-18.85,-18.85,-22.46,APAC,Japan,Developed_APAC
A1T8FU,VJPN,20974096.0,Vanguard FTSE Japan UCITS ETF Distributing,2013-05-21,4357,11.936986301369863,Long-only,Ireland,USD,False,True,Distributing,0.15,Full replication,1878.0,False,492.0,-2.35,2.23,-3.22,-3.06,3.29,-1.14,25.51,41.6,9.22,13.06,-5.73,2.33,1.95,1.89,26.34,20.69,19.31,-0.04,0.38,0.37,-22.13,-16.81,-16.81,-20.02,APAC,Japan,Developed_APAC
A2PBLK,PRIJ,45676821.0,Amundi Prime Japan UCITS ETF DR (D),2019-01-30,2277,6.238356164383561,Long-only,Luxembourg,JPY,False,False,Distributing,0.05,Full replication,1633.0,False,302.0,-2.66,2.44,-3.95,-2.82,3.26,-1.25,25.94,43.51,10.3,13.03,-5.95,2.81,1.93,1.87,24.92,19.29,18.01,-0.05,0.41,0.42,-21.89,-16.09,-16.54,-19.82,APAC,Japan,Developed_APAC
A2N6TF,SGJP,43671001.0,iShares MSCI Japan Screened UCITS ETF USD (Acc),2018-10-19,2380,6.52054794520548,Long-only,Ireland,USD,False,False,Accumulating,0.15,Optimized sampling,1241.0,True,178.0,-3.18,2.38,-3.36,-4.08,2.78,-2.08,23.39,40.87,9.2,13.19,-7.3,2.42,,,27.76,21.46,20.1,-0.07,0.34,0.35,-22.06,-17.9,-17.9,-19.76,APAC,Japan,Developed_APAC
A0DK60,IJPN,1965564.0,iShares MSCI Japan UCITS ETF (Dist),2004-10-01,7511,20.578082191780823,Long-only,Ireland,USD,False,True,Distributing,0.12,Full replication,1237.0,False,191.0,-2.93,2.37,-3.53,-3.67,2.84,-1.55,24.4,39.9,9.84,13.16,-7.41,2.42,1.96,1.89,27.29,21.18,19.79,-0.06,0.36,0.35,-41.82,-17.59,-17.59,-19.82,APAC,Japan,Developed_APAC
DBX0NJ,XDJP,20454084.0,Xtrackers Nikkei 225 UCITS ETF 1D,2013-01-25,4473,12.254794520547945,Long-only,Luxembourg,JPY,False,True,Distributing,0.09,Full replication,1189.0,False,225.0,-7.44,2.23,-3.31,-8.7,-2.86,-5.17,19.58,39.04,10.59,15.05,-9.99,-3.61,1.57,1.47,26.19,20.68,19.54,-0.2,0.3,0.35,-24.24,-19.44,-20.83,-23.34,APAC,Japan,Developed_APAC
