wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025
593393,EXS1,1174954.0,iShares Core DAX® UCITS ETF (DE) EUR (Acc),2000-12-27,8885,24.34246575342466,Long-only,Germany,EUR,False,False,Accumulating,0.16,Full replication,7954,False,40.0,14.11,3.48,-1.45,4.25,16.33,20.56,55.93,102.44,12.68,17.13,-7.93,7.11,,,16.63,16.36,18.34,1.24,0.97,0.83,-65.07,-13.94,-15.41,-23.46,EMEA,Germany,Developed_EMEA,
DBX1DA,XDAX,2825575.0,Xtrackers DAX UCITS ETF 1C,2007-01-10,6680,18.301369863013697,Long-only,Luxembourg,EUR,False,True,Accumulating,0.09,Full replication,6116,False,40.0,14.11,3.52,-1.41,4.31,16.41,20.69,56.34,103.4,12.84,17.25,-7.9,7.2,,,16.69,16.38,18.38,1.24,0.98,0.83,-45.03,-13.94,-15.45,-23.44,EMEA,Germany,Developed_EMEA,
593392,EXS3,1229560.0,iShares MDAX UCITS ETF (DE),2001-04-19,8772,24.03287671232877,Long-only,Germany,EUR,False,False,Accumulating,0.51,Full replication,1794,False,50.0,12.46,2.28,-0.93,8.06,5.38,4.56,-9.21,18.97,-10.89,5.76,-25.23,5.46,,,18.55,19.85,19.23,0.25,-0.16,0.18,-53.51,-16.94,-26.44,-38.93,EMEA,Germany,Developed_EMEA,
A0REJQ,CG1,4525477.0,Amundi ETF DAX UCITS ETF DR,2008-09-23,6058,16.5972602739726,Long-only,France,EUR,False,False,Accumulating,0.1,Full replication,1362,False,40.0,14.09,3.51,-1.42,4.3,16.39,20.68,56.18,103.08,12.82,17.2,-8.03,7.8,,,17.37,16.61,18.5,1.19,0.96,0.82,-35.82,-13.94,-15.44,-23.46,EMEA,Germany,Developed_EMEA,
ETF200,C001,130140720.0,Amundi DAX UCITS ETF Dist,2023-12-07,505,1.3835616438356164,Long-only,Luxembourg,EUR,False,True,Distributing,0.08,Full replication,1333,False,40.0,14.08,3.49,-1.43,4.29,16.39,20.67,56.19,103.23,12.84,17.2,-7.92,7.2,1.89,2.24,17.4,16.39,18.29,1.19,0.98,0.83,-38.07,-13.93,-14.84,-23.45,EMEA,Germany,Developed_EMEA,
LYX0AC,DAXX,2532201.0,Amundi DAX III UCITS ETF Acc,2006-06-01,6903,18.912328767123288,Long-only,Luxembourg,EUR,False,True,Accumulating,0.15,Full replication,1037,False,40.0,14.14,3.56,-1.38,4.34,16.43,20.68,56.12,102.8,12.77,17.21,-8.04,7.51,,,17.27,17.24,18.84,1.2,0.93,0.81,-45.54,-13.94,-15.44,-23.47,EMEA,Germany,Developed_EMEA,
A2N7NF,DEAM,45377796.0,Invesco MDAX UCITS ETF A,2019-02-11,2265,6.205479452054795,Long-only,Ireland,EUR,False,True,Accumulating,0.19,Optimized sampling,1019,False,50.0,12.31,2.46,-0.9,8.14,5.49,4.87,-8.88,20.33,-10.42,5.38,-24.76,6.3,,,18.49,19.95,19.31,0.26,-0.15,0.2,-38.63,-16.92,-25.88,-38.63,EMEA,Germany,Developed_EMEA,
DBX0NH,XDDX,20028815.0,Xtrackers DAX ESG Screened UCITS ETF 1D,2012-11-28,4531,12.413698630136986,Long-only,Luxembourg,EUR,False,True,Distributing,0.09,Full replication,409,True,32.0,13.01,4.03,-0.65,3.76,13.82,18.62,50.38,95.61,10.83,17.2,-8.95,7.51,2.44,2.81,16.35,16.41,18.4,1.14,0.89,0.78,-35.75,-14.38,-15.86,-23.82,EMEA,Germany,Developed_EMEA,
A2JF6S,VGER,41860972.0,Vanguard Germany All Cap UCITS ETF Distributing,2018-07-17,2474,6.778082191780822,Long-only,Ireland,EUR,False,True,Distributing,0.1,Full replication,212,False,151.0,14.78,3.45,-0.68,5.43,15.83,20.98,47.64,87.37,10.87,16.82,-12.97,5.96,2.14,2.52,16.32,16.56,18.2,1.29,0.84,0.73,-32.67,-13.66,-17.35,-28.1,EMEA,Germany,Developed_EMEA,
ETF197,C007,130140719.0,Amundi MDAX ESG UCITS ETF Dist,2023-12-07,505,1.3835616438356164,Long-only,Luxembourg,EUR,False,True,Distributing,0.3,Full replication,167,True,39.0,9.91,2.46,-2.01,6.28,6.41,3.8,-8.51,20.46,-10.93,7.54,-23.87,5.51,1.53,1.56,18.41,19.42,19.24,0.21,-0.15,0.2,-37.62,-16.89,-24.6,-37.62,EMEA,Germany,Developed_EMEA,
