wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A2PGQN,ICGA,47256616.0,iShares MSCI China UCITS ETF USD (Acc),2019-06-20,2136,5.852054794520548,Long-only,Ireland,USD,False,True,Accumulating,0.28,Full replication,3229.0,False,583.0,3.46,3.46,-10.16,2.91,4.01,20.43,12.1,-8.9,21.29,-16.22,-12.74,-21.04,,,28.25,27.11,27.14,0.72,0.14,-0.07,-57.1,-19.38,-36.0,-57.1,APACandEMEA,China,Emerging_APACandEMEA
A12DPT,IASH,27819610.0,iShares MSCI China A UCITS ETF,2015-04-08,3670,10.054794520547944,Long-only,Ireland,USD,False,False,Accumulating,0.4,Full replication,1411.0,False,418.0,-7.67,0.9,-5.87,-7.92,-6.91,1.51,-14.47,0.9,13.0,-18.43,-17.33,4.13,,,24.61,21.04,20.93,0.06,-0.24,0.01,-49.41,-17.84,-38.72,-44.83,APACandEMEA,China,Emerging_APACandEMEA
DBX0M2,XCHA,18841290.0,Xtrackers CSI 300 Swap UCITS ETF 1C,2012-06-27,4685,12.835616438356164,Long-only,Luxembourg,USD,False,False,Accumulating,0.5,Swap based Unfunded,1404.0,False,,-7.61,0.9,-5.82,-7.07,-5.9,5.58,-7.15,16.72,17.84,-14.71,-15.46,4.4,,,21.52,19.41,19.72,0.26,-0.13,0.16,-49.07,-15.16,-34.02,-38.89,APACandEMEA,China,Emerging_APACandEMEA
A2PB5V,FRCH,46325032.0,Franklin FTSE China UCITS ETF,2019-06-04,2152,5.895890410958904,Long-only,Ireland,USD,False,False,Accumulating,0.19,Full replication,1250.0,False,952.0,3.1,3.15,-9.93,2.27,3.52,19.68,10.14,-8.14,20.93,-16.68,-13.61,-19.24,,,27.4,26.35,26.11,0.72,0.12,-0.06,-56.52,-19.04,-36.45,-56.52,APACandEMEA,China,Emerging_APACandEMEA
DBX0G2,XCX6,11421659.0,Xtrackers MSCI China UCITS ETF 1C,2010-06-24,5419,14.846575342465751,Long-only,Luxembourg,USD,False,True,Accumulating,0.65,Full replication,999.0,False,569.0,3.5,3.25,-10.17,2.75,3.58,19.89,10.8,-10.36,20.49,-16.67,-12.88,-21.16,,,27.75,27.01,26.9,0.72,0.13,-0.08,-57.4,-19.44,-36.49,-57.4,APACandEMEA,China,Emerging_APACandEMEA
A1JHYT,HMCH,12534159.0,HSBC MSCI China UCITS ETF USD,2011-01-26,5203,14.254794520547945,Long-only,Ireland,USD,False,True,Distributing,0.28,Full replication,796.0,False,570.0,3.57,3.29,-10.1,2.78,3.77,20.02,12.18,-8.95,21.05,-16.41,-12.58,-20.83,2.28,2.67,27.94,26.91,26.86,0.72,0.14,-0.07,-56.92,-19.58,-36.01,-56.92,APACandEMEA,China,Emerging_APACandEMEA
A0DK6Z,FXC,1963428.0,iShares China Large Cap UCITS ETF,2004-10-21,7491,20.523287671232875,Long-only,Ireland,USD,False,True,Distributing,0.74,Full replication,772.0,False,50.0,4.38,2.66,-11.02,2.32,5.69,27.97,18.64,-6.44,32.95,-18.27,-10.35,-19.68,2.54,3.15,31.07,30.32,29.38,0.9,0.19,-0.04,-63.23,-20.73,-38.95,-55.42,APACandEMEA,China,Emerging_APACandEMEA
LYX0YW,LCCG,42408238.0,Amundi MSCI China UCITS ETF Acc,2018-07-05,2486,6.810958904109589,Long-only,Luxembourg,USD,False,False,Accumulating,0.29,Swap based Unfunded,523.0,False,,3.3,2.86,-10.44,2.49,3.52,20.18,12.58,-7.92,21.3,-16.0,-12.41,-20.74,,,28.27,26.9,26.81,0.71,0.15,-0.06,-56.61,-19.45,-35.82,-56.61,APACandEMEA,China,Emerging_APACandEMEA
DBX0SC,XCX7,118224738.0,Xtrackers MSCI China UCITS ETF 1D,2022-04-20,1101,3.016438356164384,Long-only,Luxembourg,USD,False,True,Distributing,0.28,Full replication,493.0,False,569.0,3.5,3.17,-10.21,2.7,3.67,20.26,11.89,,20.81,-16.19,,,2.22,2.61,27.66,26.78,,0.73,0.14,,-36.18,-19.39,-36.18,,APACandEMEA,China,Emerging_APACandEMEA
A3DENH,CNYE,116689435.0,iShares MSCI China A UCITS ETF EUR Hedged (Acc),2022-02-23,1157,3.16986301369863,Long-only,Ireland,EUR,True,False,Accumulating,0.45,Full replication,479.0,False,418.0,0.28,1.11,-0.82,1.97,-0.82,8.04,0.55,,10.03,-12.73,,,,,21.96,18.78,,0.37,0.01,,-30.48,-14.9,-30.31,,APACandEMEA,China,Emerging_APACandEMEA
