wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2025,2024,2023,2022,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A1KWPQ,SGLN,12881542,iShares Physical Gold ETC,2011-04-08,5455,14.945205479452055,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,36563,False,,19.21,-0.79,3.93,17.4,41.39,65.62,140.9,207.95,53.33,28.33,7.46,11.55,,,21.97,16.86,16.29,2.99,2.02,1.55,-41.48,-11.88,-11.88,-11.88,Global,Global,Global
A1AA5X,SGLP,10326235,Invesco Physical Gold ETC,2009-06-25,6107,16.731506849315068,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,28504,False,,19.14,-0.85,3.87,17.32,41.33,65.52,140.78,207.74,53.34,28.32,7.5,11.48,,,21.99,16.92,16.3,2.98,2.01,1.55,-41.78,-12.04,-12.04,-12.04,Global,Global,Global
A0S9GB,4GLD,,Xetra-Gold,2007-11-27,6683,18.30958904109589,Long-only,Germany,EUR,False,False,Accumulating,0.0,Physically backed,24567,False,,16.76,-0.63,3.57,18.63,41.61,65.86,143.25,209.8,57.03,28.47,7.12,13.18,,,21.67,16.41,15.97,3.04,2.1,1.59,-41.74,-12.76,-12.76,-12.76,Global,Global,Global
A2UJK0,GLDA,,Amundi Physical Gold ETC (C),2019-05-21,2490,6.821917808219178,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,12178,False,,19.13,-0.86,3.86,17.32,41.31,65.51,140.74,207.91,53.34,28.31,7.49,11.49,,,21.06,16.44,16.0,3.11,2.07,1.58,-22.3,-10.37,-10.37,-10.37,Global,Global,Global
A0N6XK,PHGP,,WisdomTree Physical Gold,2007-04-24,6900,18.904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.39,Physically backed,7791,False,,18.93,-0.97,3.72,17.1,40.97,64.87,138.56,203.15,52.93,27.97,7.2,11.18,,,22.74,17.21,16.5,2.85,1.95,1.5,-42.01,-11.87,-11.87,-11.87,Global,Global,Global
A2T0VU,XGDP,,Xtrackers IE Physical Gold ETC Securities,2020-04-22,2153,5.898630136986301,Long-only,Ireland,USD,False,False,Accumulating,0.11,Physically backed,6741,False,,16.71,-0.79,3.93,17.41,41.43,65.62,140.99,208.03,56.83,28.14,7.2,12.97,,,21.86,16.86,16.22,3.0,2.02,1.55,-22.95,-11.86,-11.86,-11.86,Global,Global,Global
A1DCTK,SGBX,,WisdomTree Physical Swiss Gold,2009-12-16,5933,16.254794520547946,Long-only,Jersey,USD,False,False,Accumulating,0.15,Physically backed,5040,False,,19.09,-0.89,3.82,17.27,41.24,65.4,140.48,207.05,53.3,28.27,7.46,11.45,,,22.42,17.08,16.42,2.92,1.99,1.53,-42.0,-11.87,-11.87,-11.87,Global,Global,Global
A0CANA,GBSS,,Gold Bullion Securities,2004-03-31,8019,21.96986301369863,Long-only,Jersey,USD,False,False,Accumulating,0.4,Physically backed,4377,False,,18.93,-0.97,3.72,17.1,40.96,64.85,138.5,203.1,52.91,27.95,7.2,11.16,,,24.47,18.29,17.18,2.65,1.84,1.44,-42.06,-11.87,-11.87,-11.87,Global,Global,Global
A1KWPR,SSLN,12881547,iShares Physical Silver ETC,2011-04-08,5455,14.945205479452055,Long-only,Ireland,USD,False,False,Accumulating,0.2,Physically backed,3463,False,,13.19,-1.96,6.5,25.52,93.85,135.59,245.62,224.61,131.29,23.09,-6.29,16.12,,,49.42,36.8,32.12,2.74,1.39,0.83,-69.49,-35.71,-35.71,-35.71,Global,Global,Global
A0N6XJ,PHSP,,WisdomTree Physical Silver,2007-04-24,6900,18.904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.49,Physically backed,3283,False,,13.12,-1.97,6.46,25.41,93.51,134.97,242.67,219.83,130.59,22.68,-6.51,15.68,,,59.04,41.57,35.53,2.29,1.22,0.74,-69.75,-35.71,-35.71,-35.71,Global,Global,Global
A2BGRJ,GBSP,,WisdomTree Physical Gold - GBP Daily Hedged,2013-03-19,4744,12.997260273972604,Long-only,Jersey,GBP,True,False,Accumulating,0.12,Physically backed,2967,False,,14.92,-1.72,0.86,15.43,37.08,67.19,154.25,175.48,65.61,24.26,12.75,-1.23,,,23.66,17.51,16.19,2.84,2.08,1.39,-37.96,-12.91,-12.91,-21.03,Global,Global,Global
A1E0HR,OXA5,11660968,Xtrackers Physical Gold ETC (EUR),2010-08-27,5679,15.558904109589042,Long-only,Jersey,USD,False,False,Accumulating,0.25,Physically backed,2792,False,,16.7,-0.79,3.92,17.36,41.32,65.4,139.98,207.16,56.39,28.14,7.36,11.33,,,21.75,16.76,16.25,3.01,2.02,1.55,-41.79,-11.87,-11.87,-11.87,Global,Global,Global
A1EK0G,OXA1,11425418,Xtrackers Physical Gold EUR Hedged ETC,2010-06-15,5752,15.758904109589041,Long-only,Jersey,EUR,True,False,Accumulating,0.59,Physically backed,2327,False,,12.52,-2.02,-0.18,13.38,35.7,68.9,136.82,159.17,71.98,17.92,8.27,2.13,,,23.63,17.52,16.68,2.92,1.9,1.26,-57.88,-12.9,-13.9,-18.39,Global,Global,Global
A3GNFN,GLDW,,WisdomTree Core Physical Gold,2020-11-30,1931,5.2904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.12,Physically backed,1818,False,,19.08,-0.9,3.81,17.26,41.25,65.43,140.66,207.38,53.35,28.31,7.5,11.47,,,22.72,17.33,16.51,2.88,1.96,1.52,-15.33,-11.87,-11.87,-11.87,Global,Global,Global
A279KU,RMAP,,HANetf The Royal Mint Responsibly Sourced Physical Gold ETC,2020-02-12,2223,6.090410958904109,Long-only,Ireland,USD,False,False,Accumulating,0.22,Physically backed,1574,False,,17.32,-0.98,3.73,17.13,41.04,65.04,139.5,205.37,55.37,27.1,8.14,12.29,,,28.9,20.85,18.81,2.25,1.62,1.33,-22.44,-13.63,-13.63,-13.63,Global,Global,Global
A1RX98,GBSE,,WisdomTree Physical Gold - EUR Daily Hedged,2013-03-21,4742,12.991780821917809,Long-only,Jersey,EUR,True,False,Accumulating,0.12,Physically backed,1490,False,,13.56,-1.96,-0.04,13.45,35.87,69.21,137.67,161.11,70.85,17.06,9.03,2.99,,,23.61,17.52,16.6,2.93,1.91,1.27,-49.25,-12.92,-13.86,-18.45,Global,Global,Global
A2T5DZ,XGDE,,Xtrackers IE Physical Gold EUR Hedged ETC Securities,2020-05-20,2125,5.821917808219178,Long-only,Ireland,EUR,True,False,Accumulating,0.28,Physically backed,1310,False,,12.51,-2.01,-0.17,13.42,35.83,69.09,137.1,158.77,71.85,18.15,7.77,3.4,,,23.69,17.55,16.67,2.92,1.9,1.26,-27.55,-12.9,-13.96,-18.49,Global,Global,Global
,IGLG,,iShares Physical Gold GBP Hedged ETC,2022-07-05,1349,3.695890410958904,Long-only,Ireland,GBP,True,False,Accumulating,0.25,Physically backed,1291,False,,17.99,-1.7,0.89,15.51,37.26,67.54,156.71,,61.72,25.74,11.82,,,,23.91,17.48,,2.82,2.11,,-12.87,-12.87,-12.87,,Global,Global,Global
A1KX35,SLVP,12892614,Invesco Physical Silver,2011-04-13,5450,14.931506849315069,Long-only,Ireland,USD,False,False,Accumulating,0.19,Physically backed,1128,False,,13.19,-1.97,6.48,25.5,93.75,135.62,245.6,224.77,131.22,23.06,-6.23,16.18,,,50.74,37.31,32.45,2.67,1.37,0.82,-69.57,-35.71,-35.71,-35.71,Global,Global,Global
A4AE1X,WSIL,,WisdomTree Core Physical Silver,2024-08-13,579,1.5863013698630137,Long-only,Jersey,USD,False,False,Accumulating,0.19,Physically backed,937,False,,13.65,-1.56,6.93,26.01,94.61,136.63,,,131.32,,,,,,49.2,,,2.78,,,-35.71,-35.71,,,Global,Global,Global
A1E0HS,OXA6,11660928,Xtrackers Physical Silver ETC (EUR),2010-08-27,5679,15.558904109589042,Long-only,Jersey,USD,False,False,Accumulating,0.4,Physically backed,686,False,,7.78,-1.4,7.09,26.17,94.71,136.47,245.43,223.12,143.69,22.8,-12.26,9.04,,,49.39,34.8,65.42,2.76,1.47,0.4,-69.67,-35.72,-35.72,-37.19,Global,Global,Global
A0N6XG,PPTX,,WisdomTree Physical Platinum,2007-04-24,6900,18.904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.49,Physically backed,635,False,,2.26,-2.58,1.86,16.08,48.78,101.83,86.2,74.77,105.37,-8.27,-11.09,23.48,,,41.6,29.67,28.27,2.45,0.78,0.42,-59.0,-28.52,-28.52,-28.52,Global,Global,Global
A2UDH4,XGDG,54946603,Xtrackers IE Physical Gold GBP Hedged ETC Securities,2020-05-22,2123,5.816438356164384,Long-only,Ireland,GBP,True,False,Accumulating,0.28,Physically backed,590,False,,16.46,-1.73,0.76,15.43,37.1,67.28,153.93,175.74,63.21,25.21,11.49,-1.78,,,23.8,17.47,16.17,2.83,2.08,1.39,-23.85,-12.86,-12.86,-21.12,Global,Global,Global
A3GX4G,IGLD,118816185,iShares Physical Gold EUR Hedged ETC,2022-07-05,1349,3.695890410958904,Long-only,Ireland,EUR,True,False,Accumulating,0.25,Physically backed,573,False,,12.65,-1.96,-0.01,13.48,35.95,69.42,139.39,,71.6,18.97,8.2,,,,23.66,17.53,,2.93,1.92,,-13.74,-12.92,-13.74,,Global,Global,Global
A1EN2J,XGLD,11426331,Xtrackers Physical Gold ETC,2010-06-15,5752,15.758904109589041,Long-only,Jersey,USD,False,False,Accumulating,0.25,Physically backed,541,False,,23.71,-0.97,3.73,17.14,41.05,65.09,139.54,205.36,47.27,28.14,7.36,11.33,,,22.91,17.73,16.81,2.84,1.9,1.49,-41.78,-11.87,-11.87,-11.87,Global,Global,Global
,SGLS,,Invesco Physical Gold GBP Hedged ETC,2020-07-09,2075,5.684931506849315,Long-only,Ireland,GBP,True,False,Accumulating,0.34,Physically backed,492,False,,19.09,-1.73,0.75,15.42,37.06,67.19,154.12,174.43,59.8,25.09,11.47,-1.78,,,24.35,17.73,16.32,2.76,2.05,1.37,-23.87,-13.65,-13.65,-21.14,Global,Global,Global
A1KWPS,SPLT,12881555,iShares Physical Platinum ETC,2011-04-08,5455,14.945205479452055,Long-only,Ireland,USD,False,False,Accumulating,0.2,Physically backed,404,False,,2.32,-2.57,1.9,16.2,48.99,102.58,87.88,77.44,105.93,-8.01,-10.83,23.81,,,45.31,35.8,32.19,2.26,0.65,0.38,-57.53,-28.52,-28.52,-28.52,Global,Global,Global
A1EK0J,OXA2,11425423,Xtrackers Physical Silver EUR Hedged ETC,2010-06-15,5752,15.758904109589041,Long-only,Jersey,EUR,True,False,Accumulating,0.75,Physically backed,395,False,,3.54,-2.66,2.72,21.43,86.16,140.79,237.27,167.44,167.82,12.75,-6.18,5.31,,,51.21,36.54,32.84,2.75,1.37,0.66,-79.86,-36.76,-36.76,-38.78,Global,Global,Global
A0N6XL,PHPP,,WisdomTree Physical Precious Metals,2007-04-24,6900,18.904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.44,Physically backed,382,False,,14.45,-1.58,3.65,17.66,51.54,80.98,122.75,126.82,72.5,17.22,-8.54,11.66,,,28.39,21.79,21.54,2.85,1.4,0.83,-48.94,-19.59,-19.59,-27.3,Global,Global,Global
A2T0VS,XSLR,,Xtrackers IE Physical Silver ETC Securities,2020-04-29,2146,5.879452054794521,Long-only,Ireland,USD,False,False,Accumulating,0.2,Physically backed,319,False,,7.46,-1.73,6.75,25.8,94.25,136.13,246.29,225.4,144.17,23.05,-6.21,16.02,,,49.15,34.69,30.72,2.77,1.48,0.87,-35.71,-35.71,-35.71,-35.71,Global,Global,Global
A0N6XH,PPDX,,WisdomTree Physical Palladium,2007-04-24,6900,18.904109589041095,Long-only,Jersey,USD,False,False,Accumulating,0.49,Physically backed,194,False,,1.81,-2.75,-2.7,3.18,31.52,61.41,-1.14,-32.14,59.59,-17.96,-41.1,3.43,,,39.4,37.08,40.46,1.56,-0.01,-0.18,-71.22,-22.71,-49.76,-71.22,Global,Global,Global
A4A52G,RM3H,,HANetf The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,2024-10-04,527,1.4438356164383561,Long-only,Ireland,EUR,True,False,Accumulating,0.35,Physically backed,185,False,,13.69,-1.85,0.03,13.55,35.98,69.47,,,70.43,,,,,,23.65,,,2.94,,,-12.92,-12.92,,,Global,Global,Global
A0KRK2,SLVR,,WisdomTree Silver,2006-09-27,7109,19.476712328767125,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,125,False,,15.63,-3.79,5.56,31.01,91.01,124.17,216.08,195.6,119.72,21.1,-7.29,13.18,,,58.97,40.93,36.18,2.11,1.14,0.67,-72.06,-35.78,-35.78,-35.78,Global,Global,Global
